,sdata,PYR,BC,OLM,loss,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/netParams.connParams.BC->BC_GABA.weight,config/netParams.connParams.BC->PYR_GABA.weight,config/netParams.connParams.OLM->PYR_GABA.weight,config/netParams.connParams.PYR->BC_AMPA.weight,config/netParams.connParams.PYR->OLM_AMPA.weight,config/netParams.connParams.PYR->PYR_AMPA.weight,logdir
0,"netParams.connParams.PYR->BC_AMPA.weight      0.000396
netParams.connParams.BC->BC_GABA.weight       0.003935
netParams.connParams.PYR->OLM_AMPA.weight     0.000236
netParams.connParams.BC->PYR_GABA.weight      0.001045
netParams.connParams.PYR->PYR_AMPA.weight     0.000013
netParams.connParams.OLM->PYR_GABA.weight     0.088704
PYR                                           3.140000
BC                                           19.000000
OLM                                           2.790000
dtype: float64",3.14,19.0,2.79,0.3307999999999997,40.4128303527832,False,1,29adeac3,2023-07-30_22-56-23,1690772183,40.4128303527832,364708,node07,10.0.0.7,40.4128303527832,1,0.003935430534813131,0.0010445143006151396,0.08870356381042116,0.0003955170543109332,0.00023616671055927716,1.3119890406724054e-05,"/ddn/jchen/dev/optimization/batchdir/ray_ses/bopt/objective_29adeac3_1_netParams_connParams_BC-_BC_GABA_weight=0.0039,netParams_connParams_BC-_PYR_GABA_weight=0.0010,netParams_conn_2023-07-30_22-55-35"
1,"netParams.connParams.PYR->BC_AMPA.weight      0.000435
netParams.connParams.BC->BC_GABA.weight       0.002511
netParams.connParams.PYR->OLM_AMPA.weight     0.000187
netParams.connParams.BC->PYR_GABA.weight      0.000984
netParams.connParams.PYR->PYR_AMPA.weight     0.000029
netParams.connParams.OLM->PYR_GABA.weight     0.079280
PYR                                           3.060000
BC                                           21.900000
OLM                                           2.190000
dtype: float64",3.06,21.9,2.19,2.1855999999999995,35.94778800010681,False,1,67e48e6e,2023-07-30_22-56-59,1690772219,35.94778800010681,364708,node07,10.0.0.7,35.94778800010681,1,0.0025113762547568975,0.0009836468249579532,0.07928028084551102,0.00043490612800657635,0.00018741041794648888,2.939819704323989e-05,"/ddn/jchen/dev/optimization/batchdir/ray_ses/bopt/objective_67e48e6e_2_netParams_connParams_BC-_BC_GABA_weight=0.0025,netParams_connParams_BC-_PYR_GABA_weight=0.0010,netParams_conn_2023-07-30_22-56-23"
2,"netParams.connParams.PYR->BC_AMPA.weight      0.000246
netParams.connParams.BC->BC_GABA.weight       0.005996
netParams.connParams.PYR->OLM_AMPA.weight     0.000290
netParams.connParams.BC->PYR_GABA.weight      0.000513
netParams.connParams.PYR->PYR_AMPA.weight     0.000020
netParams.connParams.OLM->PYR_GABA.weight     0.049091
PYR                                           3.790000
BC                                           19.600000
OLM                                           3.320000
dtype: float64",3.79,19.6,3.32,0.0783333333333332,33.05600547790527,False,1,0393b2ce,2023-07-30_22-57-32,1690772252,33.05600547790527,364708,node07,10.0.0.7,33.05600547790527,1,0.0059959918836018965,0.0005128841596883588,0.04909139763891124,0.0002460256235472362,0.0002895272074654336,2.049512863264476e-05,"/ddn/jchen/dev/optimization/batchdir/ray_ses/bopt/objective_0393b2ce_3_netParams_connParams_BC-_BC_GABA_weight=0.0060,netParams_connParams_BC-_PYR_GABA_weight=0.0005,netParams_conn_2023-07-30_22-56-59"
3,"netParams.connParams.PYR->BC_AMPA.weight      0.000230
netParams.connParams.BC->BC_GABA.weight       0.004194
netParams.connParams.PYR->OLM_AMPA.weight     0.000285
netParams.connParams.BC->PYR_GABA.weight      0.000570
netParams.connParams.PYR->PYR_AMPA.weight     0.000017
netParams.connParams.OLM->PYR_GABA.weight     0.080053
PYR                                           3.750000
BC                                           22.800000
OLM                                           4.660000
dtype: float64",3.75,22.8,4.66,3.731400000000003,31.9347186088562,False,1,18161b71,2023-07-30_22-58-04,1690772284,31.9347186088562,364708,node07,10.0.0.7,31.9347186088562,1,0.00419375258388952,0.0005696849809425902,0.08005340842001131,0.00023021778983473506,0.00028517207347267856,1.7327236865873837e-05,"/ddn/jchen/dev/optimization/batchdir/ray_ses/bopt/objective_18161b71_4_netParams_connParams_BC-_BC_GABA_weight=0.0042,netParams_connParams_BC-_PYR_GABA_weight=0.0006,netParams_conn_2023-07-30_22-57-32"
4,"netParams.connParams.PYR->BC_AMPA.weight      0.000365
netParams.connParams.BC->BC_GABA.weight       0.004302
netParams.connParams.PYR->OLM_AMPA.weight     0.000393
netParams.connParams.BC->PYR_GABA.weight      0.000925
netParams.connParams.PYR->PYR_AMPA.weight     0.000011
netParams.connParams.OLM->PYR_GABA.weight     0.050377
PYR                                           3.100000
BC                                           19.300000
OLM                                           3.470000
dtype: float64",3.1,19.3,3.47,0.0725333333333329,35.02578520774841,False,1,c536c94f,2023-07-30_22-58-39,1690772319,35.02578520774841,364708,node07,10.0.0.7,35.02578520774841,1,0.004302314928976661,0.0009253266922029698,0.0503765123154019,0.0003651243978289002,0.00039326924479033526,1.0929008254399956e-05,"/ddn/jchen/dev/optimization/batchdir/ray_ses/bopt/objective_c536c94f_5_netParams_connParams_BC-_BC_GABA_weight=0.0043,netParams_connParams_BC-_PYR_GABA_weight=0.0009,netParams_conn_2023-07-30_22-58-04"
5,"netParams.connParams.PYR->BC_AMPA.weight      0.000522
netParams.connParams.BC->BC_GABA.weight       0.004984
netParams.connParams.PYR->OLM_AMPA.weight     0.000528
netParams.connParams.BC->PYR_GABA.weight      0.000483
netParams.connParams.PYR->PYR_AMPA.weight     0.000026
netParams.connParams.OLM->PYR_GABA.weight     0.040684
PYR                                           3.550000
BC                                           20.000000
OLM                                           3.980000
dtype: float64",3.55,20.0,3.98,0.1314,32.80760407447815,False,1,1602a617,2023-07-30_22-59-12,1690772352,32.80760407447815,364708,node07,10.0.0.7,32.80760407447815,1,0.004983951833556472,0.00048277736905484993,0.04068371469494012,0.0005215987934112,0.0005276275319068414,2.6167946962329225e-05,"/ddn/jchen/dev/optimization/batchdir/ray_ses/bopt/objective_1602a617_6_netParams_connParams_BC-_BC_GABA_weight=0.0050,netParams_connParams_BC-_PYR_GABA_weight=0.0005,netParams_conn_2023-07-30_22-58-39"
6,"netParams.connParams.PYR->BC_AMPA.weight      0.000338
netParams.connParams.BC->BC_GABA.weight       0.003621
netParams.connParams.PYR->OLM_AMPA.weight     0.000224
netParams.connParams.BC->PYR_GABA.weight      0.000430
netParams.connParams.PYR->PYR_AMPA.weight     0.000020
netParams.connParams.OLM->PYR_GABA.weight     0.085265
PYR                                           3.600000
BC                                           22.000000
OLM                                           3.390000
dtype: float64",3.6,22.0,3.39,1.7880000000000014,33.823079109191895,False,1,8e634fd2,2023-07-30_22-59-46,1690772386,33.823079109191895,364708,node07,10.0.0.7,33.823079109191895,1,0.0036207619612801676,0.00043032392208459643,0.08526477790887528,0.0003384548977462564,0.0002239337645441204,1.9903538202225407e-05,"/ddn/jchen/dev/optimization/batchdir/ray_ses/bopt/objective_8e634fd2_7_netParams_connParams_BC-_BC_GABA_weight=0.0036,netParams_connParams_BC-_PYR_GABA_weight=0.0004,netParams_conn_2023-07-30_22-59-12"
7,"netParams.connParams.PYR->BC_AMPA.weight      0.000419
netParams.connParams.BC->BC_GABA.weight       0.002405
netParams.connParams.PYR->OLM_AMPA.weight     0.000292
netParams.connParams.BC->PYR_GABA.weight      0.001015
netParams.connParams.PYR->PYR_AMPA.weight     0.000020
netParams.connParams.OLM->PYR_GABA.weight     0.054632
PYR                                           3.000000
BC                                           22.300000
OLM                                           2.500000
dtype: float64",3.0,22.3,2.5,2.6055000000000024,33.09804463386536,False,1,470c44a0,2023-07-30_23-00-19,1690772419,33.09804463386536,364708,node07,10.0.0.7,33.09804463386536,1,0.0024047483450184825,0.001014710689496723,0.054632158675201214,0.0004185080223674335,0.00029221598739218794,2.0401360423556218e-05,"/ddn/jchen/dev/optimization/batchdir/ray_ses/bopt/objective_470c44a0_8_netParams_connParams_BC-_BC_GABA_weight=0.0024,netParams_connParams_BC-_PYR_GABA_weight=0.0010,netParams_conn_2023-07-30_22-59-46"
8,"netParams.connParams.PYR->BC_AMPA.weight      0.000459
netParams.connParams.BC->BC_GABA.weight       0.004710
netParams.connParams.PYR->OLM_AMPA.weight     0.000518
netParams.connParams.BC->PYR_GABA.weight      0.000493
netParams.connParams.PYR->PYR_AMPA.weight     0.000028
netParams.connParams.OLM->PYR_GABA.weight     0.105810
PYR                                           3.270000
BC                                           18.900000
OLM                                           4.580000
dtype: float64",3.27,18.9,4.58,0.6256666666666669,32.400614738464355,False,1,6c6eacec,2023-07-30_23-00-51,1690772451,32.400614738464355,364708,node07,10.0.0.7,32.400614738464355,1,0.004710196257044758,0.0004930952079783795,0.10581009319904819,0.0004590478164100012,0.0005182196189631081,2.789654700855298e-05,"/ddn/jchen/dev/optimization/batchdir/ray_ses/bopt/objective_6c6eacec_9_netParams_connParams_BC-_BC_GABA_weight=0.0047,netParams_connParams_BC-_PYR_GABA_weight=0.0005,netParams_conn_2023-07-30_23-00-19"
9,"netParams.connParams.PYR->BC_AMPA.weight      0.000251
netParams.connParams.BC->BC_GABA.weight       0.004941
netParams.connParams.PYR->OLM_AMPA.weight     0.000196
netParams.connParams.BC->PYR_GABA.weight      0.001024
netParams.connParams.PYR->PYR_AMPA.weight     0.000017
netParams.connParams.OLM->PYR_GABA.weight     0.042371
PYR                                           3.500000
BC                                           17.500000
OLM                                           2.580000
dtype: float64",3.5,17.5,2.58,1.8858999999999992,34.69795274734497,False,1,71ed97cb,2023-07-30_23-01-26,1690772486,34.69795274734497,364708,node07,10.0.0.7,34.69795274734497,1,0.004940549904649882,0.0010237494492166441,0.042371460147738196,0.0002505538304708923,0.00019628182400779372,1.650660661526529e-05,"/ddn/jchen/dev/optimization/batchdir/ray_ses/bopt/objective_71ed97cb_10_netParams_connParams_BC-_BC_GABA_weight=0.0049,netParams_connParams_BC-_PYR_GABA_weight=0.0010,netParams_con_2023-07-30_23-00-51"
