,sdata,PYR,BC,OLM,loss,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/netParams.connParams.PYR->BC_AMPA.weight,config/netParams.connParams.PYR->BC_NMDA.weight,config/netParams.connParams.PYR->OLM_AMPA.weight,config/netParams.connParams.PYR->OLM_NMDA.weight,config/netParams.connParams.PYR->PYR_AMPA.weight,config/netParams.connParams.PYR->PYR_NMDA.weight,logdir
0,"netParams.connParams.PYR->BC_AMPA.weight      0.000315
netParams.connParams.PYR->BC_NMDA.weight      0.002002
netParams.connParams.PYR->OLM_AMPA.weight     0.000444
netParams.connParams.PYR->OLM_NMDA.weight     0.000769
netParams.connParams.PYR->PYR_AMPA.weight     0.000013
netParams.connParams.PYR->PYR_NMDA.weight     0.000003
PYR                                           2.740000
BC                                           17.800000
OLM                                           2.570000
dtype: float64",2.74,17.8,2.57,1.5933333333333315,39.67503190040589,False,1,3b5f2173,2023-07-30_22-54-19,1690772059,39.67503190040589,579944,node06,10.0.0.6,39.67503190040589,1,0.0003148344427850505,0.002001985742845684,0.0004435178190521058,0.0007690609389379255,1.3120372808848731e-05,2.6239780813448104e-06,"/ddn/jchen/dev/optimization/batchdir/ray_ses/bopt/objective_3b5f2173_1_netParams_connParams_PYR-_BC_AMPA_weight=0.0003,netParams_connParams_PYR-_BC_NMDA_weight=0.0020,netParams_con_2023-07-30_22-53-30"
1,"netParams.connParams.PYR->BC_AMPA.weight      0.000201
netParams.connParams.PYR->BC_NMDA.weight      0.001885
netParams.connParams.PYR->OLM_AMPA.weight     0.000396
netParams.connParams.PYR->OLM_NMDA.weight     0.000846
netParams.connParams.PYR->PYR_AMPA.weight     0.000010
netParams.connParams.PYR->PYR_NMDA.weight     0.000006
PYR                                           2.770000
BC                                           18.400000
OLM                                           2.830000
dtype: float64",2.77,18.4,2.83,0.8081666666666673,33.25940251350403,False,1,53d95b2d,2023-07-30_22-54-52,1690772092,33.25940251350403,579944,node06,10.0.0.6,33.25940251350403,1,0.00020091010038055182,0.0018853230811694101,0.0003964014042275552,0.0008456508044572318,1.041168988591605e-05,5.879639408647978e-06,"/ddn/jchen/dev/optimization/batchdir/ray_ses/bopt/objective_53d95b2d_2_netParams_connParams_PYR-_BC_AMPA_weight=0.0002,netParams_connParams_PYR-_BC_NMDA_weight=0.0019,netParams_con_2023-07-30_22-54-19"
2,"netParams.connParams.PYR->BC_AMPA.weight      0.000480
netParams.connParams.PYR->BC_NMDA.weight      0.000983
netParams.connParams.PYR->OLM_AMPA.weight     0.000245
netParams.connParams.PYR->OLM_NMDA.weight     0.000478
netParams.connParams.PYR->PYR_AMPA.weight     0.000016
netParams.connParams.PYR->PYR_NMDA.weight     0.000004
PYR                                           4.540000
BC                                           20.800000
OLM                                           2.380000
dtype: float64",4.54,20.8,2.38,1.279366666666668,33.418038845062256,False,1,fa219c13,2023-07-30_22-55-25,1690772125,33.418038845062256,579944,node06,10.0.0.6,33.418038845062256,1,0.0004796793506881518,0.000983027972736021,0.00024545698819455626,0.0004783831568974037,1.6084844859190756e-05,4.099025726528952e-06,"/ddn/jchen/dev/optimization/batchdir/ray_ses/bopt/objective_fa219c13_3_netParams_connParams_PYR-_BC_AMPA_weight=0.0005,netParams_connParams_PYR-_BC_NMDA_weight=0.0010,netParams_con_2023-07-30_22-54-52"
3,"netParams.connParams.PYR->BC_AMPA.weight      0.000336
netParams.connParams.PYR->BC_NMDA.weight      0.001092
netParams.connParams.PYR->OLM_AMPA.weight     0.000400
netParams.connParams.PYR->OLM_NMDA.weight     0.000448
netParams.connParams.PYR->PYR_AMPA.weight     0.000016
netParams.connParams.PYR->PYR_NMDA.weight     0.000003
PYR                                           4.260000
BC                                           20.600000
OLM                                           2.900000
dtype: float64",4.26,20.6,2.9,0.6604333333333346,33.799898624420166,False,1,2b17fb37,2023-07-30_22-55-59,1690772159,33.799898624420166,579944,node06,10.0.0.6,33.799898624420166,1,0.00033550020671116167,0.0010918962134732978,0.00040026704210005656,0.0004476457024564293,1.5842892970704367e-05,3.465447373174767e-06,"/ddn/jchen/dev/optimization/batchdir/ray_ses/bopt/objective_2b17fb37_4_netParams_connParams_PYR-_BC_AMPA_weight=0.0003,netParams_connParams_PYR-_BC_NMDA_weight=0.0011,netParams_con_2023-07-30_22-55-25"
4,"netParams.connParams.PYR->BC_AMPA.weight      0.000344
netParams.connParams.PYR->BC_NMDA.weight      0.001774
netParams.connParams.PYR->OLM_AMPA.weight     0.000252
netParams.connParams.PYR->OLM_NMDA.weight     0.000710
netParams.connParams.PYR->PYR_AMPA.weight     0.000022
netParams.connParams.PYR->PYR_NMDA.weight     0.000002
PYR                                           3.320000
BC                                           19.800000
OLM                                           2.370000
dtype: float64",3.32,19.8,2.37,0.4068000000000001,33.742241859436035,False,1,039744be,2023-07-30_22-56-33,1690772193,33.742241859436035,579944,node06,10.0.0.6,33.742241859436035,1,0.0003441851943181329,0.0017735428267223585,0.00025188256157700954,0.000709964106889528,2.1848291377240856e-05,2.1858016508799907e-06,"/ddn/jchen/dev/optimization/batchdir/ray_ses/bopt/objective_039744be_5_netParams_connParams_PYR-_BC_AMPA_weight=0.0003,netParams_connParams_PYR-_BC_NMDA_weight=0.0018,netParams_con_2023-07-30_22-55-59"
5,"netParams.connParams.PYR->BC_AMPA.weight      0.000399
netParams.connParams.PYR->BC_NMDA.weight      0.000925
netParams.connParams.PYR->OLM_AMPA.weight     0.000203
netParams.connParams.PYR->OLM_NMDA.weight     0.001014
netParams.connParams.PYR->PYR_AMPA.weight     0.000029
netParams.connParams.PYR->PYR_NMDA.weight     0.000005
PYR                                           3.500000
BC                                           16.600000
OLM                                           5.670000
dtype: float64",3.5,16.6,5.67,4.825199999999995,32.864710569381714,False,1,3d092592,2023-07-30_22-57-06,1690772226,32.864710569381714,579944,node06,10.0.0.6,32.864710569381714,1,0.0003987161466845178,0.0009253232906884623,0.00020341857347470064,0.001014219876077333,2.931264066149119e-05,5.233589392465845e-06,"/ddn/jchen/dev/optimization/batchdir/ray_ses/bopt/objective_3d092592_6_netParams_connParams_PYR-_BC_AMPA_weight=0.0004,netParams_connParams_PYR-_BC_NMDA_weight=0.0009,netParams_con_2023-07-30_22-56-33"
6,"netParams.connParams.PYR->BC_AMPA.weight      0.000290
netParams.connParams.PYR->BC_NMDA.weight      0.000825
netParams.connParams.PYR->OLM_AMPA.weight     0.000426
netParams.connParams.PYR->OLM_NMDA.weight     0.000658
netParams.connParams.PYR->PYR_AMPA.weight     0.000012
netParams.connParams.PYR->PYR_NMDA.weight     0.000004
PYR                                           3.690000
BC                                           16.200000
OLM                                           4.670000
dtype: float64",3.69,16.2,4.67,4.604166666666667,33.4128475189209,False,1,438c1267,2023-07-30_22-57-39,1690772259,33.4128475189209,579944,node06,10.0.0.6,33.4128475189209,1,0.00028966095690241344,0.0008247875173288097,0.00042632388954437646,0.0006581067456177209,1.2440764696895577e-05,3.980707640445081e-06,"/ddn/jchen/dev/optimization/batchdir/ray_ses/bopt/objective_438c1267_7_netParams_connParams_PYR-_BC_AMPA_weight=0.0003,netParams_connParams_PYR-_BC_NMDA_weight=0.0008,netParams_con_2023-07-30_22-57-06"
7,"netParams.connParams.PYR->BC_AMPA.weight      0.000192
netParams.connParams.PYR->BC_NMDA.weight      0.001945
netParams.connParams.PYR->OLM_AMPA.weight     0.000273
netParams.connParams.PYR->OLM_NMDA.weight     0.000814
netParams.connParams.PYR->PYR_AMPA.weight     0.000016
netParams.connParams.PYR->PYR_NMDA.weight     0.000004
PYR                                           2.960000
BC                                           17.700000
OLM                                           2.580000
dtype: float64",2.96,17.7,2.58,1.6455000000000002,34.7087676525116,False,1,ae729a4f,2023-07-30_22-58-14,1690772294,34.7087676525116,579944,node06,10.0.0.6,34.7087676525116,1,0.00019237986760147863,0.0019448621548687189,0.0002731607933760061,0.0008137655990477873,1.6234221521788222e-05,4.080272084711244e-06,"/ddn/jchen/dev/optimization/batchdir/ray_ses/bopt/objective_ae729a4f_8_netParams_connParams_PYR-_BC_AMPA_weight=0.0002,netParams_connParams_PYR-_BC_NMDA_weight=0.0019,netParams_con_2023-07-30_22-57-39"
8,"netParams.connParams.PYR->BC_AMPA.weight      0.000377
netParams.connParams.PYR->BC_NMDA.weight      0.000945
netParams.connParams.PYR->OLM_AMPA.weight     0.000529
netParams.connParams.PYR->OLM_NMDA.weight     0.000893
netParams.connParams.PYR->PYR_AMPA.weight     0.000029
netParams.connParams.PYR->PYR_NMDA.weight     0.000006
PYR                                           3.350000
BC                                           15.800000
OLM                                           5.550000
dtype: float64",3.35,15.8,5.55,6.512166666666662,33.50536131858826,False,1,e44468b4,2023-07-30_22-58-48,1690772328,33.50536131858826,579944,node06,10.0.0.6,33.50536131858826,1,0.00037681570056358063,0.0009450991486252272,0.0005290504659952411,0.0008925929763527801,2.8789978831283786e-05,5.579309401710595e-06,"/ddn/jchen/dev/optimization/batchdir/ray_ses/bopt/objective_e44468b4_9_netParams_connParams_PYR-_BC_AMPA_weight=0.0004,netParams_connParams_PYR-_BC_NMDA_weight=0.0009,netParams_con_2023-07-30_22-58-14"
9,"netParams.connParams.PYR->BC_AMPA.weight      0.000395
netParams.connParams.PYR->BC_NMDA.weight      0.001962
netParams.connParams.PYR->OLM_AMPA.weight     0.000212
netParams.connParams.PYR->OLM_NMDA.weight     0.000487
netParams.connParams.PYR->PYR_AMPA.weight     0.000011
netParams.connParams.PYR->PYR_NMDA.weight     0.000003
PYR                                           4.000000
BC                                           28.000000
OLM                                           1.890000
dtype: float64",4.0,28.0,1.89,23.94066666666667,35.680463790893555,False,1,8c0ee700,2023-07-30_22-59-24,1690772364,35.680463790893555,579944,node06,10.0.0.6,35.680463790893555,1,0.00039524399237199066,0.001962186444331901,0.00021185730073869103,0.00048718800369340165,1.0904545778210761e-05,3.3013213230530577e-06,"/ddn/jchen/dev/optimization/batchdir/ray_ses/bopt/objective_8c0ee700_10_netParams_connParams_PYR-_BC_AMPA_weight=0.0004,netParams_connParams_PYR-_BC_NMDA_weight=0.0020,netParams_co_2023-07-30_22-58-48"
