,sdata,PYR,BC,OLM,loss,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/netParams.connParams.BC->BC_GABA.weight,config/netParams.connParams.BC->PYR_GABA.weight,config/netParams.connParams.OLM->PYR_GABA.weight,config/netParams.connParams.PYR->BC_AMPA.weight,config/netParams.connParams.PYR->OLM_AMPA.weight,config/netParams.connParams.PYR->PYR_AMPA.weight,logdir
0,"netParams.connParams.PYR->BC_AMPA.weight      0.000468
netParams.connParams.BC->BC_GABA.weight       0.005040
netParams.connParams.PYR->OLM_AMPA.weight     0.000396
netParams.connParams.BC->PYR_GABA.weight      0.000814
netParams.connParams.PYR->PYR_AMPA.weight     0.000012
netParams.connParams.OLM->PYR_GABA.weight     0.087120
PYR                                           3.320000
BC                                           18.500000
OLM                                           3.790000
dtype: float64",3.32,18.5,3.79,0.5142666666666661,42.922558307647705,False,1,8f6f5217,2023-07-29_11-52-58,1690645978,42.922558307647705,374609,node08,10.0.0.8,42.922558307647705,1,0.005039999999999999,0.0008136,0.08712,0.000468,0.00039600000000000003,1.2200000000000002e-05,"/ddn/jchen/ray_results/objective_2023-07-29_11-52-02/objective_8f6f5217_1_netParams_connParams_BC-_BC_GABA_weight=0.0050,netParams_connParams_BC-_PYR_GABA_weight=0.0008,netParams_conn_2023-07-29_11-52-08"
1,"netParams.connParams.PYR->BC_AMPA.weight      0.000486
netParams.connParams.BC->BC_GABA.weight       0.005850
netParams.connParams.PYR->OLM_AMPA.weight     0.000356
netParams.connParams.BC->PYR_GABA.weight      0.000907
netParams.connParams.PYR->PYR_AMPA.weight     0.000016
netParams.connParams.OLM->PYR_GABA.weight     0.089280
PYR                                           3.380000
BC                                           17.200000
OLM                                           3.840000
dtype: float64",3.38,17.2,3.84,2.1295,32.47022819519043,False,1,6884f717,2023-07-29_11-53-31,1690646011,32.47022819519043,374609,node08,10.0.0.8,32.47022819519043,1,0.005849999999999999,0.0009072000000000002,0.08928,0.000486,0.0003564,1.62e-05,"/ddn/jchen/ray_results/objective_2023-07-29_11-52-02/objective_6884f717_2_netParams_connParams_BC-_BC_GABA_weight=0.0058,netParams_connParams_BC-_PYR_GABA_weight=0.0009,netParams_conn_2023-07-29_11-52-58"
2,"netParams.connParams.PYR->BC_AMPA.weight      0.000194
netParams.connParams.BC->BC_GABA.weight       0.006480
netParams.connParams.PYR->OLM_AMPA.weight     0.000364
netParams.connParams.BC->PYR_GABA.weight      0.000792
netParams.connParams.PYR->PYR_AMPA.weight     0.000021
netParams.connParams.OLM->PYR_GABA.weight     0.041040
PYR                                           3.750000
BC                                           18.000000
OLM                                           3.990000
dtype: float64",3.75,18.0,3.99,1.109499999999999,33.312445878982544,False,1,5ec20410,2023-07-29_11-54-04,1690646044,33.312445878982544,374609,node08,10.0.0.8,33.312445878982544,1,0.00648,0.0007920000000000001,0.04103999999999999,0.0001944,0.00036360000000000006,2.1000000000000002e-05,"/ddn/jchen/ray_results/objective_2023-07-29_11-52-02/objective_5ec20410_3_netParams_connParams_BC-_BC_GABA_weight=0.0065,netParams_connParams_BC-_PYR_GABA_weight=0.0008,netParams_conn_2023-07-29_11-53-31"
3,"netParams.connParams.PYR->BC_AMPA.weight      0.000216
netParams.connParams.BC->BC_GABA.weight       0.004680
netParams.connParams.PYR->OLM_AMPA.weight     0.000245
netParams.connParams.BC->PYR_GABA.weight      0.001037
netParams.connParams.PYR->PYR_AMPA.weight     0.000025
netParams.connParams.OLM->PYR_GABA.weight     0.051840
PYR                                           3.440000
BC                                           19.700000
OLM                                           3.260000
dtype: float64",3.44,19.7,3.26,0.0180333333333333,33.56711387634277,False,1,9f7ac7ec,2023-07-29_11-54-38,1690646078,33.56711387634277,374609,node08,10.0.0.8,33.56711387634277,1,0.00468,0.0010368,0.05184,0.00021600000000000002,0.0002448,2.5000000000000005e-05,"/ddn/jchen/ray_results/objective_2023-07-29_11-52-02/objective_9f7ac7ec_4_netParams_connParams_BC-_BC_GABA_weight=0.0047,netParams_connParams_BC-_PYR_GABA_weight=0.0010,netParams_conn_2023-07-29_11-54-04"
4,"netParams.connParams.PYR->BC_AMPA.weight      0.000515
netParams.connParams.BC->BC_GABA.weight       0.004140
netParams.connParams.PYR->OLM_AMPA.weight     0.000403
netParams.connParams.BC->PYR_GABA.weight      0.000828
netParams.connParams.PYR->PYR_AMPA.weight     0.000012
netParams.connParams.OLM->PYR_GABA.weight     0.058320
PYR                                           3.230000
BC                                           18.400000
OLM                                           3.020000
dtype: float64",3.23,18.4,3.02,0.6348666666666674,34.575133085250854,False,1,0f399649,2023-07-29_11-55-12,1690646112,34.575133085250854,374609,node08,10.0.0.8,34.575133085250854,1,0.00414,0.0008280000000000001,0.05832,0.0005148,0.00040320000000000004,1.18e-05,"/ddn/jchen/ray_results/objective_2023-07-29_11-52-02/objective_0f399649_5_netParams_connParams_BC-_BC_GABA_weight=0.0041,netParams_connParams_BC-_PYR_GABA_weight=0.0008,netParams_conn_2023-07-29_11-54-38"
5,"netParams.connParams.PYR->BC_AMPA.weight      0.000295
netParams.connParams.BC->BC_GABA.weight       0.006525
netParams.connParams.PYR->OLM_AMPA.weight     0.000389
netParams.connParams.BC->PYR_GABA.weight      0.000641
netParams.connParams.PYR->PYR_AMPA.weight     0.000013
netParams.connParams.OLM->PYR_GABA.weight     0.052560
PYR                                           3.480000
BC                                           17.800000
OLM                                           3.560000
dtype: float64",3.48,17.8,3.56,1.2125666666666648,32.789445638656616,False,1,b53f4418,2023-07-29_11-55-45,1690646145,32.789445638656616,374609,node08,10.0.0.8,32.789445638656616,1,0.0065249999999999996,0.0006408,0.052559999999999996,0.0002952,0.0003888,1.2800000000000001e-05,"/ddn/jchen/ray_results/objective_2023-07-29_11-52-02/objective_b53f4418_6_netParams_connParams_BC-_BC_GABA_weight=0.0065,netParams_connParams_BC-_PYR_GABA_weight=0.0006,netParams_conn_2023-07-29_11-55-12"
6,"netParams.connParams.PYR->BC_AMPA.weight      0.000504
netParams.connParams.BC->BC_GABA.weight       0.006165
netParams.connParams.PYR->OLM_AMPA.weight     0.000270
netParams.connParams.BC->PYR_GABA.weight      0.001015
netParams.connParams.PYR->PYR_AMPA.weight     0.000013
netParams.connParams.OLM->PYR_GABA.weight     0.062640
PYR                                           3.320000
BC                                           16.100000
OLM                                           2.870000
dtype: float64",3.32,16.1,2.87,4.440133333333328,33.086602210998535,False,1,627435ae,2023-07-29_11-56-18,1690646178,33.086602210998535,374609,node08,10.0.0.8,33.086602210998535,1,0.006165,0.0010152000000000002,0.06264,0.000504,0.00027,1.32e-05,"/ddn/jchen/ray_results/objective_2023-07-29_11-52-02/objective_627435ae_7_netParams_connParams_BC-_BC_GABA_weight=0.0062,netParams_connParams_BC-_PYR_GABA_weight=0.0010,netParams_conn_2023-07-29_11-55-45"
7,"netParams.connParams.PYR->BC_AMPA.weight      0.000511
netParams.connParams.BC->BC_GABA.weight       0.004860
netParams.connParams.PYR->OLM_AMPA.weight     0.000349
netParams.connParams.BC->PYR_GABA.weight      0.001051
netParams.connParams.PYR->PYR_AMPA.weight     0.000020
netParams.connParams.OLM->PYR_GABA.weight     0.074160
PYR                                           3.060000
BC                                           17.400000
OLM                                           3.460000
dtype: float64",3.06,17.4,3.46,1.7895000000000012,33.99404287338257,False,1,f06f223b,2023-07-29_11-56-52,1690646212,33.99404287338257,374609,node08,10.0.0.8,33.99404287338257,1,0.00486,0.0010512000000000002,0.07416,0.0005112000000000001,0.00034920000000000003,2.0200000000000003e-05,"/ddn/jchen/ray_results/objective_2023-07-29_11-52-02/objective_f06f223b_8_netParams_connParams_BC-_BC_GABA_weight=0.0049,netParams_connParams_BC-_PYR_GABA_weight=0.0011,netParams_conn_2023-07-29_11-56-18"
8,"netParams.connParams.PYR->BC_AMPA.weight      0.000371
netParams.connParams.BC->BC_GABA.weight       0.002655
netParams.connParams.PYR->OLM_AMPA.weight     0.000284
netParams.connParams.BC->PYR_GABA.weight      0.000482
netParams.connParams.PYR->PYR_AMPA.weight     0.000022
netParams.connParams.OLM->PYR_GABA.weight     0.058320
PYR                                           3.510000
BC                                           23.900000
OLM                                           3.470000
dtype: float64",3.51,23.9,3.47,5.889633333333332,33.23198413848877,False,1,96ad95d0,2023-07-29_11-57-26,1690646246,33.23198413848877,374609,node08,10.0.0.8,33.23198413848877,1,0.002655,0.0004824,0.05832,0.0003708,0.00028440000000000003,2.2e-05,"/ddn/jchen/ray_results/objective_2023-07-29_11-52-02/objective_96ad95d0_9_netParams_connParams_BC-_BC_GABA_weight=0.0027,netParams_connParams_BC-_PYR_GABA_weight=0.0005,netParams_conn_2023-07-29_11-56-52"
9,"netParams.connParams.PYR->BC_AMPA.weight      0.000439
netParams.connParams.BC->BC_GABA.weight       0.003555
netParams.connParams.PYR->OLM_AMPA.weight     0.000313
netParams.connParams.BC->PYR_GABA.weight      0.000605
netParams.connParams.PYR->PYR_AMPA.weight     0.000015
netParams.connParams.OLM->PYR_GABA.weight     0.038160
PYR                                           3.620000
BC                                           22.500000
OLM                                           3.700000
dtype: float64",3.62,22.5,3.7,2.6571000000000016,32.685837268829346,False,1,db3fa9f1,2023-07-29_11-57-58,1690646278,32.685837268829346,374609,node08,10.0.0.8,32.685837268829346,1,0.003555,0.0006048000000000001,0.03816,0.00043920000000000005,0.0003132,1.48e-05,"/ddn/jchen/ray_results/objective_2023-07-29_11-52-02/objective_db3fa9f1_10_netParams_connParams_BC-_BC_GABA_weight=0.0036,netParams_connParams_BC-_PYR_GABA_weight=0.0006,netParams_con_2023-07-29_11-57-26"
