,loss,PYR,BC,OLM,PYR->BC_AMPA,PYR->OLM_AMPA,PYR->PYR_AMPA,BC->BC_GABA,BC->PYR_GABA,OLM->PYR_GABA,PYR->BC_NMDA,PYR->OLM_NMDA,PYR->PYR_NMDA,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,INTERVAL/PYR/0_250,INTERVAL/PYR/250_500,INTERVAL/PYR/500_750,INTERVAL/PYR/750_1000,INTERVAL/BC/0_250,INTERVAL/BC/250_500,INTERVAL/BC/500_750,INTERVAL/BC/750_1000,INTERVAL/OLM/0_250,INTERVAL/OLM/250_500,INTERVAL/OLM/500_750,INTERVAL/OLM/750_1000,config/netParams.connParams.BC->BC_GABA.weight,config/netParams.connParams.BC->PYR_GABA.weight,config/netParams.connParams.OLM->PYR_GABA.weight,config/netParams.connParams.PYR->BC_AMPA.weight,config/netParams.connParams.PYR->BC_NMDA.weight,config/netParams.connParams.PYR->OLM_AMPA.weight,config/netParams.connParams.PYR->OLM_NMDA.weight,config/netParams.connParams.PYR->PYR_AMPA.weight,config/netParams.connParams.PYR->PYR_NMDA.weight,logdir
0,34102.293023215614,0.2675,8.405,13.365,0.090592999999999,0.074489,0.023589,0.093112,0.0564859999999999,0.0605719999999999,0.068186,0.081851,0.072154,46.54034376144409,False,1,d61600dd,2023-12-12_00-52-21,1702360341,46.54034376144409,740198,grid,10.0.0.101,46.54034376144409,1,0.415,0.225,0.215,0.215,7.38,9.68,8.4,8.16,19.22,12.44,12.2,9.6,0.093112,0.056486,0.060572,0.09059299999999999,0.068186,0.074489,0.081851,0.023589,0.072154,"/ddn/jchen/dev/pubtk/examples/ray_ses/optuna/sge_run_d61600dd_1_netParams_connParams_BC-_BC_GABA_weight=0.0931,netParams_connParams_BC-_PYR_GABA_weight=0.0565,netParams_connPa_2023-12-12_00-51-30"
1,2931100198591.644,7.3025,1.315,33.275,0.0466269999999999,0.095474999999999,0.063421999999999,0.010296,0.06777,0.053933999999999,0.072269,0.04601,0.01907,46.74650287628174,False,1,0aca2645,2023-12-12_00-53-08,1702360388,46.74650287628174,740198,grid,10.0.0.101,46.74650287628174,1,23.98,0.0,0.0,5.23,5.26,0.0,0.0,0.0,22.5,50.6,29.38,30.62,0.010296,0.06777,0.053933999999999996,0.046627,0.072269,0.09547499999999999,0.04601,0.06342199999999999,0.01907,"/ddn/jchen/dev/pubtk/examples/ray_ses/optuna/sge_run_0aca2645_2_netParams_connParams_BC-_BC_GABA_weight=0.0103,netParams_connParams_BC-_PYR_GABA_weight=0.0678,netParams_connPa_2023-12-12_00-52-21"
2,188320.0711556763,0.62875,11.89,16.71,0.093592,0.021685,0.062493,0.067949,0.035892,0.064974,0.027495,0.023635,0.031462,46.732009172439575,False,1,0625738b,2023-12-12_00-53-55,1702360435,46.732009172439575,740198,grid,10.0.0.101,46.732009172439575,1,0.8200000000000001,0.52,0.48,0.6950000000000001,11.1,11.44,11.14,13.88,20.12,15.88,13.06,17.78,0.067949,0.035892,0.064974,0.093592,0.027495,0.021685,0.023635,0.062493,0.031462,"/ddn/jchen/dev/pubtk/examples/ray_ses/optuna/sge_run_0625738b_3_netParams_connParams_BC-_BC_GABA_weight=0.0679,netParams_connParams_BC-_PYR_GABA_weight=0.0359,netParams_connPa_2023-12-12_00-53-08"
3,377676.2003364702,0.17375,5.785,9.545,0.060404,0.058223,0.080692,0.034135,0.088471,0.095759,0.0246419999999999,0.072845,0.008821999999999,36.41260123252869,False,1,28e1313f,2023-12-12_00-54-31,1702360471,36.41260123252869,740198,grid,10.0.0.101,36.41260123252869,1,0.395,0.12,0.065,0.115,8.98,4.82,4.6,4.74,18.48,8.2,5.14,6.36,0.034135,0.088471,0.095759,0.060404,0.024642,0.058223,0.072845,0.080692,0.008821999999999998,"/ddn/jchen/dev/pubtk/examples/ray_ses/optuna/sge_run_28e1313f_4_netParams_connParams_BC-_BC_GABA_weight=0.0341,netParams_connParams_BC-_PYR_GABA_weight=0.0885,netParams_connPa_2023-12-12_00-53-55"
4,132.4691220011678,0.3575,13.845,6.46,0.072126,0.034463,0.006161,0.0217389999999999,0.023025,0.044531,0.0298529999999999,0.000624,0.073382,36.75432848930359,False,1,c252cd0f,2023-12-12_00-55-08,1702360508,36.75432848930359,740198,grid,10.0.0.101,36.75432848930359,1,0.525,0.275,0.28,0.35,14.42,13.28,13.26,14.42,8.86,5.06,4.5600000000000005,7.36,0.021739,0.023025,0.044531,0.072126,0.029853,0.034463,0.000624,0.006161,0.073382,"/ddn/jchen/dev/pubtk/examples/ray_ses/optuna/sge_run_c252cd0f_5_netParams_connParams_BC-_BC_GABA_weight=0.0217,netParams_connParams_BC-_PYR_GABA_weight=0.0230,netParams_connPa_2023-12-12_00-54-32"
5,10170.52394199545,0.18375,9.4,4.505,0.060339,0.031455,0.021674,0.044994,0.079319,0.083342,0.076832,0.015153999999999,0.064773,36.71432280540466,False,1,3d089f1c,2023-12-12_00-55-45,1702360545,36.71432280540466,740198,grid,10.0.0.101,36.71432280540466,1,0.355,0.14,0.11,0.13,11.18,8.84,7.36,10.22,8.2,3.7,3.12,3.0,0.044994,0.079319,0.083342,0.060339,0.076832,0.031455,0.015153999999999999,0.021674,0.064773,"/ddn/jchen/dev/pubtk/examples/ray_ses/optuna/sge_run_3d089f1c_6_netParams_connParams_BC-_BC_GABA_weight=0.0450,netParams_connParams_BC-_PYR_GABA_weight=0.0793,netParams_connPa_2023-12-12_00-55-08"
6,343.96142632945634,0.1275,12.82,5.755,0.098757,0.08503,0.063706,0.009300999999999,0.086201,0.083851,0.063232,0.045584,0.088855999999999,36.74306583404541,False,1,8164dd24,2023-12-12_00-56-22,1702360582,36.74306583404541,740198,grid,10.0.0.101,36.74306583404541,1,0.335,0.045,0.07,0.06,17.34,10.58,12.32,11.04,11.72,3.44,3.96,3.9,0.009300999999999999,0.086201,0.083851,0.098757,0.063232,0.08503,0.045584,0.063706,0.08885599999999999,"/ddn/jchen/dev/pubtk/examples/ray_ses/optuna/sge_run_8164dd24_7_netParams_connParams_BC-_BC_GABA_weight=0.0093,netParams_connParams_BC-_PYR_GABA_weight=0.0862,netParams_connPa_2023-12-12_00-55-45"
7,30412.592911668584,0.205,8.305,7.955,0.033523,0.010265999999999,0.074515,0.041476,0.098070999999999,0.029663,0.0550359999999999,0.050739,0.084632,36.72462177276611,False,1,7876388c,2023-12-12_00-56-59,1702360619,36.72462177276611,740198,grid,10.0.0.101,36.72462177276611,1,0.41,0.145,0.11,0.155,10.26,7.06,7.88,8.02,15.08,5.64,4.54,6.5600000000000005,0.041476,0.09807099999999999,0.029663,0.033523,0.055036,0.010265999999999999,0.050739,0.074515,0.084632,"/ddn/jchen/dev/pubtk/examples/ray_ses/optuna/sge_run_7876388c_8_netParams_connParams_BC-_BC_GABA_weight=0.0415,netParams_connParams_BC-_PYR_GABA_weight=0.0981,netParams_connPa_2023-12-12_00-56-22"
8,1781.603931197233,0.2125,11.46,10.74,0.035044,0.072522,0.064886,0.038167,0.0266609999999999,0.084047,0.088748,0.056144,0.085998999999999,36.50993585586548,False,1,aea45c41,2023-12-12_00-57-35,1702360655,36.50993585586548,740198,grid,10.0.0.101,36.50993585586548,1,0.385,0.195,0.11,0.16,13.74,10.58,10.12,11.4,15.68,11.02,8.3,7.96,0.038167,0.026661,0.084047,0.035044,0.088748,0.072522,0.056144,0.064886,0.08599899999999999,"/ddn/jchen/dev/pubtk/examples/ray_ses/optuna/sge_run_aea45c41_9_netParams_connParams_BC-_BC_GABA_weight=0.0382,netParams_connParams_BC-_PYR_GABA_weight=0.0267,netParams_connPa_2023-12-12_00-56-59"
9,2195798.012379275,0.31375,11.34,19.17,0.062229,0.059393999999999,0.04709,0.046265,0.025419999999999,0.036101,0.063165,0.077193,0.032596,36.759907484054565,False,1,fbc6bca9,2023-12-12_00-58-12,1702360692,36.759907484054565,740198,grid,10.0.0.101,36.759907484054565,1,0.5,0.235,0.29,0.23,12.7,10.3,11.68,10.68,25.1,15.0,19.74,16.84,0.046265,0.025419999999999998,0.036101,0.062229,0.063165,0.059393999999999995,0.077193,0.04709,0.032596,"/ddn/jchen/dev/pubtk/examples/ray_ses/optuna/sge_run_fbc6bca9_10_netParams_connParams_BC-_BC_GABA_weight=0.0463,netParams_connParams_BC-_PYR_GABA_weight=0.0254,netParams_connP_2023-12-12_00-57-35"
